seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,landmass-count,refusal
1513,default,6.2064624,3.7170012,0.037742298,9,0.26796355,0.69965955,27,
1514,default,6.7173329,3.5589496,0.05221913,4,0.60494531,0.66309262,14,
1515,default,6.2526302,3.8728603,0.040012695,9,0.31709501,0.5092362,25,
1516,default,7.6144721,2.9930037,0.062692251,9,0.5369015,0.67614293,37,
1517,default,6.5145601,3.364647,0.056589034,7,0.45512127,0.70060774,37,
1518,default,6.7216875,3.2812409,0.052194717,5,0.69386139,0.76845895,39,
1519,default,6.4026043,2.9732931,0.047775988,9,0.39742977,0.6776347,31,
1520,default,5.8114723,3.7358624,0.042991065,6,0.25119617,0.73238769,26,
1521,default,6.5677964,3.3342039,0.042942239,7,0.3664771,0.71212343,23,
1522,default,6.5794741,3.3583532,0.047336556,8,0.4028535,0.62796955,33,
1523,default,6.6694371,3.0604244,0.056833162,6,0.40945796,0.65710598,39,
1524,default,7.2668022,2.8815188,0.059542991,6,0.44464198,0.38787169,23,
1525,default,6.3472911,3.5018399,0.034031541,8,0.43174691,0.6721738,19,
1526,default,6.1944113,3.7506602,0.034959231,9,0.32631922,0.70525709,26,
1527,default,6.6003305,3.1556855,0.051047312,5,0.48818266,0.73124359,25,
1528,default,6.3249878,3.2791243,0.054953371,7,0.33807071,0.71086284,34,
1529,default,5.807233,3.8277037,0.042502807,8,0.18634905,0.72658108,20,
1530,default,6.9454091,2.977307,0.054953371,6,0.3338358,0.70542733,37,
1531,default,7.1277153,2.8485387,0.051828524,9,0.22539391,0.78846736,32,
1532,default,6.6097682,3.3487617,0.056759924,12,0.16840373,0.56544684,18,
1533,default,7.0625756,2.9451699,0.059420927,8,0.39699966,0.62932583,28,
1534,default,6.5930121,3.5594089,0.048874567,9,0.25934706,0.6544228,32,
1535,default,6.8045904,3.3017482,0.048874567,8,0.26449108,0.65238514,29,
1536,default,6.1801443,3.5083803,0.050876422,10,0.29089411,0.73429032,31,
1537,default,5.4982322,3.9280996,0.029905766,6,0.26381167,0.4449141,23,
1538,default,7.4474343,3.0958034,0.041013622,14,0.33694836,0.75713889,36,
1539,default,7.1575296,3.468371,0.046311215,11,0.24739843,0.72396496,34,
1540,default,6.0966845,3.5688504,0.045114985,8,0.27323962,0.79163615,27,
1541,default,7.0882237,3.2641702,0.04797129,11,0.16477588,0.75256132,26,
1542,default,6.903121,3.562556,0.045481178,9,0.25414228,0.7501953,35,
1543,default,7.8622533,2.9172211,0.057614374,7,0.53827723,0.61452848,28,
1544,default,6.2892819,3.8432812,0.04184366,9,0.195124,0.71181827,24,
1545,default,6.4261336,3.4443324,0.047507446,8,0.21181464,0.75697175,29,
1546,default,7.9821055,2.7168183,0.069649919,5,0.61808532,0.6340999,50,
1547,default,6.155226,3.6667794,0.042307505,7,0.19901369,0.75608468,22,
1548,default,5.6615571,3.8473372,0.043943167,7,0.25193653,0.68365531,15,
1549,default,7.3224645,3.0234331,0.056515795,8,0.33734205,0.77072616,30,
1550,default,7.0066905,3.2822512,0.04728773,9,0.39672106,0.56694009,31,
1551,default,5.9968227,3.264051,0.051730873,8,0.28980659,0.70011535,25,
1552,default,6.9216575,3.0719698,0.049948733,4,0.56607762,0.65260729,26,
1553,default,7.5593226,3.1513463,0.06047068,3,0.61015807,0.57843855,32,
1554,default,6.5780312,3.0387717,0.051144964,5,0.3871816,0.73149163,30,
1555,default,6.6723237,3.167655,0.055221913,4,0.59883064,0.72708778,22,
1556,default,6.8197249,3.4011837,0.048264245,8,0.2557171,0.70935989,36,
1557,default,5.7128093,3.7612692,0.03444656,8,0.22969236,0.61047996,22,
1558,default,5.2671378,4.1823055,0.033201504,7,0.28687814,0.79121259,18,
1559,default,7.2697302,3.0925521,0.041453054,12,0.18341915,0.54658518,32,
1560,default,8.5531315,2.6048162,0.062008691,5,0.5924186,0.60335684,65,
1561,default,7.4139591,3.0520376,0.055124262,8,0.28252746,0.78980937,54,
1562,default,6.750517,3.2627022,0.048337484,8,0.24656935,0.76249427,37,
1563,default,7.4394917,3.1801982,0.050119623,10,0.40980617,0.5662823,35,
1564,default,7.4366125,3.0590269,0.059518578,8,0.29447537,0.64208019,39,
