seed,pin_set,shoreline-development,hypsometric-bimodality,shelf-fraction,continent-count,largest-continent-share,plate-size-gini,refusal
2542,default,9.56950677387935,1.2825110083547495,0.6094673111664469,29,0.9439519306540584,0.7931230106416864,
2543,default,9.455803496140453,1.6717706845062932,0.5990674283482252,55,0.57960363833504,0.8003515453347005,
2544,default,10.577760897552583,2.1002138236945886,0.11173770811972071,87,0.4304588037472976,0.8536312788546567,
2545,default,8.366897634840214,1.0037980763948307,0.7221571212343147,19,0.9507005708354956,0.6973691803045838,
2546,default,11.746943531376035,1.2723927928839063,0.644597431766027,30,0.8453740262512005,0.7608685037882406,
2547,default,11.4184917407649,1.0315534118271759,0.7421268492749378,48,0.8522932466594438,0.8059821995298777,
2548,default,8.737765809350195,1.6495442674501637,0.6208681216737464,25,0.7730468530288542,0.7857770616669109,
2549,default,9.206696246376739,2.477201410578519,0.05163322103412919,81,0.5635344367325147,0.7609505674248607,
2550,default,11.715611465084757,1.2702081897041075,0.6240173819637713,40,0.8615855874565184,0.76233042691686,
2551,default,10.260872393601534,2.0774107070598067,0.09306186221375909,70,0.9104674998346889,0.779681167911723,
2552,default,8.210530060663254,3.3169960562976093,0.0393291343196133,41,0.22952093223996547,0.5391501066028677,
2553,default,11.503136541646445,1.3435353069369647,0.6732581416923001,43,0.9320696962561809,0.7572551999414092,
2554,default,6.7589823498194095,3.3080466911423243,0.02658561593672184,43,0.4591312470808034,0.8146847724002448,
2555,default,12.453592059616383,1.8400115570193758,0.16505541721595626,95,0.2829802385615097,0.8191507075350639,
2556,default,10.301555189924448,1.2348152097222944,0.7526976221864167,38,0.5927017819706499,0.778072359748059,
2557,default,10.756899919000283,2.097297826910782,0.09594258092866559,72,0.32134473507712946,0.8356577873569231,
2558,default,8.371543622140477,1.9195572409320998,0.17872662467652947,51,0.793733681462141,0.8486425281503647,
2559,default,9.605176965909113,2.4609105877423376,0.05912797226697915,78,0.3383575036662865,0.7137797508384882,
2560,default,12.210402891427647,1.671344844939924,0.2711537522581905,75,0.9182897545357525,0.7076224215035798,
2561,default,10.811198017753238,1.1338033560310037,0.650749475123285,27,0.8732110461600484,0.8487300424783946,
2562,default,8.622283431597037,2.264189862730727,0.06806308285728235,48,0.9001158748551564,0.8011583325776968,
2563,default,13.665045728196597,1.0873491361007428,0.6586104194131146,36,0.8173619508262797,0.8123739450823091,
2564,default,12.351756980864037,1.6085697228094544,0.6621746985010497,69,0.731792345585449,0.7659933765356957,
2565,default,10.9584555021988,2.1157015746885572,0.07145647185196036,84,0.25460354830572607,0.5936103380368798,
2566,default,9.544741788950581,1.2923893370960446,0.6214052048239832,20,0.8011942051683634,0.8378664546234491,
2567,default,11.502257446327988,1.465026920742456,0.6506029979004931,55,0.8298690093340654,0.8025456520677701,
2568,default,12.563537316505707,1.5419969792233137,0.5749719251989649,57,0.7733239314384899,0.6489209511254332,
2569,default,6.218513355458947,3.0342077270384977,0.03078462965675504,28,0.4431964331647089,0.827601540103371,
2570,default,10.477942926171183,1.214640467548933,0.7238660221668863,35,0.642121170490452,0.7611533527748557,
2571,default,11.040685645547965,2.0850112182124665,0.09662614130169425,107,0.47637281350622224,0.7640333317058086,
2572,default,9.605481187609929,2.3108360032177933,0.06078804745862018,63,0.23988117341255105,0.6692145994104934,
2573,default,13.298853059577436,1.2946781249477537,0.6734778575264879,45,0.964039984421654,0.8267022926210836,
2574,default,13.471879469975324,1.4694687774126016,0.2653679019579122,112,0.2644760380378495,0.7600657316537278,
2575,default,10.45041982092334,2.1612088207044677,0.09184121869049362,66,0.5680321390937829,0.8329120144398192,
2576,default,10.264494341218999,1.5799680396053088,0.6447927347297495,53,0.8141252209038121,0.7577486450856892,
2577,default,11.487339325335807,1.959492534224435,0.11342219618182706,105,0.41060180250024225,0.7329563986133489,
2578,default,10.267809763246186,2.439047944586561,0.04921634685806357,72,0.3925102726933134,0.731583201775087,
2579,default,10.751241691248735,2.061525322265515,0.09896977686636395,60,0.36245229799236767,0.7203658268639226,
2580,default,7.538534124760074,3.022195781303914,0.03637517699331087,43,0.26447455699801004,0.5511010204579854,
2581,default,13.1939682930583,1.7245085587716724,0.2537962013573556,61,0.7897654584221748,0.7732016433349378,
2582,default,11.681923036664834,2.0453349013839617,0.11911039500024413,85,0.5029066012143134,0.7361726343507606,
2583,default,9.7723093754765,2.6568961749835904,0.05063229334505151,68,0.389983305509182,0.7306283872857771,
2584,default,10.503243462743518,2.2284671394155637,0.074190713344075,83,0.7139219651014753,0.8251037546994777,
2585,default,11.000925601287975,1.9405075309351405,0.16378594795176016,99,0.7347000990778142,0.7415490780072589,
2586,default,11.0328420803251,1.8709855797794188,0.21947170548313072,50,0.5941193941193941,0.8453200527318001,
2587,default,10.458962661371354,2.05713799279495,0.11671793369464381,65,0.8448901954003113,0.7651384209755383,
2588,default,7.533031871565677,1.344519309555661,0.6332454469996582,20,0.8073702682376536,0.7707744138094219,
2589,default,9.93353746997278,1.7367479535195858,0.1811679117230604,52,0.5871818181818181,0.8228439366567388,
2590,default,12.847091931581199,2.0124988197618077,0.10416971827547483,76,0.40305857957490926,0.8096664116877974,
2591,default,6.976316238164608,2.775821263598301,0.03962208876519701,39,0.4403313943239908,0.747277964943118,
2592,default,11.090804001221054,1.5042904991741899,0.615863483228358,42,0.8439253344842469,0.6941132431684651,
2593,default,12.68126149631404,1.3995035105522127,0.6183780088862848,49,0.9069004408899826,0.792638886628438,
2594,default,6.976281839510141,2.5571059314710736,0.042356330257311656,39,0.44271175311884436,0.5972559933596993,
2595,default,10.95023160059718,1.5215816678395164,0.5683804501733314,37,0.9542274208193131,0.8525966631543633,
2596,default,13.098801537586938,1.8391067244995338,0.1394219032273815,111,0.29077223306384165,0.8027693236911537,
2597,default,11.710011367026258,1.4604340963471971,0.5984815194570577,42,0.8211097771049747,0.8264756417678638,
2598,default,9.481502426073487,2.06940516546701,0.15504614032517944,67,0.45938781950142,0.8527781846589522,
2599,default,11.113596174738099,1.901657191891503,0.1678384844490015,58,0.7364826765240273,0.8521176808858075,
2600,default,11.868912682399479,1.536990263644751,0.2640740198232508,73,0.3277624677749133,0.8375410659356755,
2601,default,10.779298795077697,1.5830991558963607,0.6233338215907427,53,0.9544800884955752,0.7430789512230849,
2602,default,10.8028745428549,2.432815509170873,0.07165177481568283,44,0.44343950714379343,0.7780625945998729,
2603,default,9.726661669394217,2.0654004236639807,0.15826863922660026,78,0.4177870975700012,0.674816126698359,
2604,default,11.267341835331951,1.8541173446733865,0.12172257214003222,64,0.5362373833194202,0.6285191152775742,
2605,default,10.498415718104608,1.5708960151687263,0.5702846540696255,31,0.7364457831325302,0.8133258763110822,
2606,default,13.255062759024309,1.5933599513567547,0.5578096772618525,83,0.9054185069481848,0.6959924168573395,
2607,default,11.680637304620907,1.7156094855174226,0.26971339290073726,78,0.8217130082436775,0.3210809444621556,
2608,default,12.519800815417339,1.5486561379000676,0.5308334553976857,31,0.9663625154130703,0.648634099897466,
2609,default,12.209583766234973,1.7227224701373722,0.23245935257067527,75,0.7972313696792291,0.7930765099360382,
2610,default,7.672529999200244,2.3255381143594156,0.06884429471217225,44,0.8401639344262295,0.8607137238307592,
2611,default,11.445076360017584,2.022896070037664,0.1389336458180753,75,0.4421384473926179,0.7632697513684772,
2612,default,11.728854264824031,1.974302994771272,0.13485669645036863,84,0.8376523774925325,0.7015184805429424,
2613,default,8.966115370053016,1.4064083967026253,0.5866901030223134,19,0.9679702796325117,0.7297495239490259,
2614,default,11.299376795846566,0.9901482116625631,0.6888579659196328,25,0.8223486808070357,0.8513687004023816,
2615,default,14.758227004723757,1.3360448265633673,0.6290220204091597,59,0.6505844155844156,0.6820020181306252,
2616,default,11.496916745114927,1.8759121777574144,0.15001708900932573,58,0.5870664232551608,0.6537300646719133,
2617,default,11.527121427760253,1.8519996574459079,0.1698647526976222,55,0.41549804828682957,0.8009546092159245,
2618,default,10.400219745945577,2.5237763518474114,0.045432351935940626,76,0.6451119188827243,0.6440467859099761,
2619,default,8.003516813207948,1.151384439297325,0.6714027635369366,20,0.8896830950714786,0.6092170792441776,
2620,default,13.552612626054117,1.31097063621591,0.7026756506029979,44,0.6275728691808261,0.8326721514248978,
2621,default,13.511289890847294,1.2121585282169238,0.6593672183975392,49,0.9193684974594726,0.70832618384984,
2622,default,11.015023879444335,1.4767375089778925,0.7126116888823788,53,0.3684128102732754,0.8280557146091057,
2623,default,13.80805423281329,1.369022852452932,0.5576632000390606,48,0.9649954712557941,0.646772747013278,
2624,default,7.855557442218471,2.5776903823804336,0.04094038377032371,42,0.672162859248342,0.8001969304884202,
2625,default,6.479357505059859,2.988562313100706,0.03129729993652654,28,0.4314644665291581,0.7441775303940237,
2626,default,10.910769944072577,1.7311368231027497,0.5685757531370539,81,0.8978822780107213,0.7936024963269728,
2627,default,13.384849828084599,1.4282337592714618,0.6175723841609296,58,0.8916034020206632,0.8391037649785809,
2628,default,10.678841902084498,1.838582220524229,0.5760216786289732,72,0.6820018471484646,0.7529875250231923,
2629,default,12.206212729410687,1.3757565625931873,0.649650895952346,54,0.9233962264150943,0.7938395865157255,
2630,default,11.985214979541457,1.186687036583899,0.6478931692788438,43,0.9551614610905241,0.7798065226944166,
2631,default,12.92880299956366,1.6247536103893492,0.5785362042869,67,0.8240489930514663,0.7873173975415075,
2632,default,10.579219078246304,1.0252981605585365,0.6702797714955324,19,0.8650738916256158,0.6182826824397061,
2633,default,10.417261482279086,1.309219507419747,0.6758703188320883,53,0.9251893391917674,0.7778650722842901,
2634,default,11.607532574442788,1.2837487912520553,0.6240906205751672,31,0.8766166580444904,0.8033313105526378,
2635,default,11.937707773484695,1.410732816540316,0.7118304770274889,59,0.6514335613447824,0.7932562774367373,
2636,default,10.98805116899709,1.3786862988208495,0.6433767882427616,40,0.8753399567075539,0.7729048208761113,
2637,default,12.521625605075949,1.6190670418853705,0.27542600458961963,54,0.5891190108191654,0.7600774893229594,
2638,default,10.495486434631783,1.8148964421666849,0.5885698940481422,36,0.9517050580381308,0.7542893413407548,
2639,default,10.370974355287771,2.165333034718817,0.06889312045310288,59,0.2225126328628681,0.7794452508089538,
2640,default,11.750706031355747,2.0687198537016402,0.09943362140520483,81,0.6508039629689784,0.828225618323758,
2641,default,11.900542478187317,1.590291581856266,0.5683316244324008,71,0.9425079702444208,0.7062994970948684,
2642,default,13.247058780843535,1.8280497486255103,0.2081441335872272,99,0.9286660484832429,0.5604193505174904,
2643,default,12.589809245191606,1.0920713122679717,0.6732825545627655,41,0.9565674624040382,0.7373203858956796,
2644,default,11.442750811778827,1.47620468958917,0.606781895415263,22,0.9724197745013009,0.7037817414263878,
2645,default,10.900919673181795,1.402706390343726,0.6770421366144231,28,0.9400918677621789,0.7343053411604752,
2646,default,8.8008438960881,2.586816582553591,0.04401640544895269,63,0.531285768790538,0.8518975775457394,
2647,default,11.381808756095921,1.3818804510443594,0.7192519896489429,43,0.7526297335203366,0.6762799125476728,
2648,default,10.868523397355743,1.4523798961450558,0.6705239002001855,32,0.634461894953656,0.799144464517249,
2649,default,10.930838693686232,1.5605452668072917,0.6468434158488355,41,0.8864089534958512,0.8293243154312693,
2650,default,10.868252020633385,1.871865114416174,0.1677896587080709,57,0.71075,0.8165128655827352,
2651,default,11.087770734219129,1.6549167334118318,0.5516088081636639,56,0.7419454451878539,0.8096414563090994,
2652,default,9.962775260550547,2.1588221326526607,0.09120648405839558,75,0.7823717482923994,0.849573170651243,
2653,default,10.202229685311325,1.2741837747146543,0.7028465406962551,30,0.539340178625676,0.5461267624736206,
2654,default,9.644925535607388,2.483731272098469,0.06542649284702895,90,0.2952941176470588,0.6038008126773324,
2655,default,13.026804858211898,1.6078757634774947,0.6122259655290269,67,0.3186453293636025,0.7551758984306223,
2656,default,11.809425635624832,1.5435338062069415,0.6082466676431815,54,0.9578723152476185,0.6585038905238114,
2657,default,8.818411561838898,2.0640337717389365,0.12831404716566575,68,0.4435006680664249,0.8476417167130512,
2658,default,12.562639622154707,1.5568581911906338,0.567013329427274,51,0.9131629729255599,0.8628234210481172,
2659,default,11.488908928067726,1.4650290719917993,0.6632732776719886,41,0.6288500232162204,0.7813454832334976,
2660,default,12.01720866767959,1.320811887827744,0.6745520238269616,40,0.8329972271237711,0.7908593774274162,
2661,default,9.188434383166422,2.2492589483946874,0.0831258239343782,52,0.28392173543173116,0.6830504152900521,
2662,default,11.643678316689735,1.2820170943389562,0.6541916898588936,41,0.7176006758659532,0.747046573388273,
2663,default,10.721626230625466,1.3172854276163715,0.6749914554953371,26,0.7334002761390737,0.7712697133929007,
2664,default,12.832499001005575,1.167067146908204,0.6922269420438455,40,0.8500373505976095,0.6914678180241385,
2665,default,9.10030102799739,1.865187795337202,0.5685269273961232,34,0.9582129233614611,0.7408533111989974,
2666,default,11.9955826467266,1.6494147655755855,0.5772423221522387,42,0.972157376302454,0.6404838630926224,
2667,default,12.20460179958962,1.9103320790683664,0.1552414432889019,105,0.8789948282721125,0.8120221493591935,
2668,default,9.453039281609488,1.6920143425233551,0.5856159367218398,44,0.8283361486486487,0.7905180411112738,
2669,default,10.967785527065718,1.171993610179967,0.6523118988330648,44,0.9436392914653784,0.7266284323556917,
2670,default,11.916727456780514,1.081581452147138,0.6989648942922709,40,0.9473061351603862,0.7675709530616264,
2671,default,13.099408177795384,1.5114733025553309,0.314999267613886,81,0.42578947368421055,0.7302175776034643,
2672,default,11.822684400684324,1.3441709349162212,0.6100043943166837,31,0.9489903795327201,0.8245282047830753,
2673,default,10.552020526059795,1.642673247175962,0.6501391533616523,61,0.7630026322955432,0.5476091662190974,
